scenario,trial,ramp_minutes,detected,lead_time_seconds,baseline_lead_time_seconds
gradual_leak,0,108.0,True,1650.0,0.0
gradual_leak,1,80.0,True,1740.0,0.0
gradual_leak,2,107.0,True,1590.0,0.0
gradual_leak,3,105.0,True,1470.0,0.0
gradual_leak,4,99.0,True,1560.0,0.0
gradual_leak,5,95.0,True,1530.0,0.0
gradual_leak,6,78.0,True,1680.0,0.0
gradual_leak,7,115.0,True,1380.0,0.0
gradual_leak,8,98.0,True,1590.0,0.0
gradual_leak,9,76.0,True,1530.0,0.0
gradual_leak,10,103.0,True,1260.0,0.0
gradual_leak,11,55.0,True,1650.0,0.0
gradual_leak,12,90.0,True,1680.0,0.0
gradual_leak,13,112.0,True,1620.0,0.0
gradual_leak,14,56.0,True,1710.0,0.0
stable_control,0,,False,,
stable_control,1,,False,,
stable_control,2,,False,,
stable_control,3,,False,,
stable_control,4,,False,,
stable_control,5,,False,,
stable_control,6,,False,,
stable_control,7,,False,,
stable_control,8,,False,,
stable_control,9,,False,,
stable_control,10,,False,,
stable_control,11,,False,,
stable_control,12,,False,,
stable_control,13,,False,,
stable_control,14,,False,,
sudden_spike_control,0,,True,,
sudden_spike_control,1,,True,,
sudden_spike_control,2,,True,,
sudden_spike_control,3,,True,,
sudden_spike_control,4,,True,,
sudden_spike_control,5,,True,,
sudden_spike_control,6,,True,,
sudden_spike_control,7,,True,,
sudden_spike_control,8,,True,,
sudden_spike_control,9,,True,,
sudden_spike_control,10,,True,,
sudden_spike_control,11,,True,,
sudden_spike_control,12,,True,,
sudden_spike_control,13,,True,,
sudden_spike_control,14,,True,,
